constellation,horizon,n_repeats,pct_valid_mean,pct_valid_min,pct_valid_max,formal_total_mean,high_total_mean,content_per_day_mean,content_per_day_stdev,mean_jaccard,actions_per_day,coverage,verdict_pass,verdict_warn,verdict_fail,breaks_runs,breaks_earliest
family,1,3,100.0,100.0,100.0,0,0,0.0,0.0,0.0,18.667,1.0,3,0,0,0,
family,3,3,100.0,100.0,100.0,0,0,0.67,0.0,0.949,18.8,1.0,3,0,0,3,2
family,7,3,95.233,85.7,100.0,0.333,0,1.143,0.233,0.961,18.933,1.0,1,1,1,3,2
fullday,7,3,100.0,100.0,100.0,0,0,1.05,0.269,0.959,64.133,1.0,2,1,0,3,2
single,1,3,100.0,100.0,100.0,0,0,0.0,0.0,0.0,15.333,1.0,3,0,0,0,
single,3,3,100.0,100.0,100.0,0,0,1.33,0.0,1.0,15.667,1.0,0,3,0,3,2
single,7,3,100.0,100.0,100.0,0,0,1.523,0.132,0.987,15.3,1.0,0,3,0,3,2
wg,1,3,100.0,100.0,100.0,0,0,0.0,0.0,0.0,20.333,1.0,3,0,0,0,
wg,3,3,100.0,100.0,100.0,0,0,1.33,0.0,1.0,18.333,1.0,0,3,0,3,2
wg,7,3,100.0,100.0,100.0,0,0,1.237,0.485,0.969,20.733,1.0,1,2,0,3,2
